Machine_ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature difference [K],Power [W],Type
M001,303.5,311.7,1584,32.7,143,8.199999999999989,5424.148211981994,H
M002,298.8,310.0,1295,52.7,74,11.199999999999989,7146.75676777386,M
M003,298.4,308.5,1741,32.8,112,10.100000000000023,5980.000672157147,L
M004,303.8,313.0,1789,23.5,215,9.199999999999989,4402.575584863176,M
M005,300.9,310.7,1477,43.2,143,9.800000000000011,6681.790583067059,L
M006,301.7,310.5,1567,39.1,114,8.800000000000011,6416.147980255018,L
M007,299.3,308.6,1437,48.1,67,9.300000000000011,7238.198057944348,L
M008,298.3,309.5,1427,54.3,89,11.199999999999989,8114.325417177469,H
M009,302.9,311.2,1330,53.7,200,8.300000000000011,7479.189630401221,M
M010,302.9,311.2,1751,23.8,196,8.300000000000011,4364.070130905678,L
M011,300.0,309.5,1781,24.9,70,9.5,4643.99650831604,H
M012,298.0,307.6,1281,50.8,122,9.600000000000023,6814.617120460835,L
M013,300.6,309.5,1557,33.8,84,8.899999999999977,5511.044664780286,M
M014,303.9,312.7,1485,43.3,174,8.800000000000011,6733.532614071683,M
M015,299.8,309.6,1374,51.6,137,9.800000000000011,7424.463086375687,L
M016,299.8,310.9,2084,17.6,175,11.099999999999966,3840.9530661809295,L
M017,302.0,311.2,1420,45.8,192,9.199999999999989,6810.553993962192,L
M018,301.3,310.6,1556,39.0,72,9.300000000000011,6354.813619681434,L
M019,300.8,311.7,1426,45.5,16,10.899999999999977,6794.531871428884,L
M020,303.6,312.5,1375,54.0,186,8.899999999999977,7775.441817634736,H
M021,298.0,308.3,1362,56.8,216,10.300000000000011,8101.2878076650695,L
M022,301.8,310.7,1523,43.3,60,8.899999999999977,6905.838499145571,L
M023,301.0,310.9,1296,54.9,69,9.899999999999977,7450.852464665841,L
M024,301.9,311.0,1467,48.1,43,9.100000000000023,7389.308664582017,M
M025,302.6,312.0,1657,29.3,37,9.399999999999977,5084.154583034994,H
