Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temperature difference [K],Power [W],Type,Machine failure
298.1,308.6,1551,42.8,0,10.5,6951.590560157351,M,0
298.2,308.7,1408,46.3,3,10.5,6826.722724152667,L,0
298.1,308.5,1498,49.4,5,10.399999999999977,7749.387542560967,L,0
298.2,308.6,1433,39.5,7,10.400000000000034,5927.504658915661,L,0
298.2,308.7,1408,40.0,9,10.5,5897.816608339237,L,0
298.1,308.6,1425,41.9,11,10.5,6252.554778807084,M,0
298.1,308.6,1558,42.4,14,10.5,6917.703247400629,L,0
298.1,308.6,1527,40.2,16,10.5,6428.264055922363,L,0
298.3,308.7,1667,28.6,18,10.399999999999977,4992.639989035923,M,0
298.5,309.0,1741,28.0,21,10.5,5104.878622573175,M,0
298.4,308.9,1782,23.9,24,10.5,4459.993426595285,H,0
298.6,309.1,1423,44.3,29,10.5,6601.41817101272,H,0
298.6,309.1,1339,51.1,34,10.5,7165.22933257697,M,0
298.6,309.2,1742,30.0,37,10.599999999999966,5472.6544025534195,M,0
298.6,309.2,2035,19.6,40,10.599999999999966,4176.85215270275,L,0
298.6,309.2,1542,48.4,42,10.599999999999966,7815.528539894543,L,0
298.6,309.2,1311,46.6,44,10.599999999999966,6397.602111623327,M,0
298.7,309.2,1410,45.6,47,10.5,6733.0613751736455,M,0
298.8,309.2,1306,54.5,50,10.399999999999977,7453.6380101520235,H,0
298.9,309.3,1632,32.5,55,10.400000000000034,5554.3358115467545,M,0
298.9,309.3,1375,42.7,58,10.400000000000034,6148.3586224630235,H,0
298.8,309.3,1450,44.8,63,10.5,6802.595292573099,L,0
298.9,309.3,1581,30.7,65,10.400000000000034,5082.7513383163905,M,0
299.0,309.4,1758,25.7,68,10.399999999999977,4731.3013681593,L,0
299.0,309.4,1561,37.3,70,10.399999999999977,6097.339157768725,M,0
299.0,309.5,1861,23.3,73,10.5,4540.784717670103,L,0
299.1,309.5,1512,39.0,75,10.399999999999977,6175.114519896098,L,0
299.1,309.4,1811,24.6,77,10.299999999999955,4665.327922433915,H,0
299.1,309.4,1439,44.2,82,10.299999999999955,6660.574360679816,L,0
299.0,309.4,1693,30.1,84,10.399999999999977,5336.445417069278,L,0
299.1,309.5,1339,48.2,86,10.399999999999977,6758.592051471818,M,0
299.0,309.4,1798,25.5,89,10.399999999999977,4801.296052481282,L,0
299.0,309.4,1419,48.3,91,10.399999999999977,7177.251160464705,L,0
298.9,309.3,1665,32.5,93,10.400000000000034,5666.647748912589,L,0
298.8,309.1,1559,34.7,95,10.300000000000011,5665.056008634771,M,0
298.8,309.2,1452,48.6,98,10.399999999999977,7389.7799034800555,M,0
298.9,309.2,1581,36.7,101,10.300000000000011,6076.122935381484,M,0
298.8,309.1,1439,39.2,104,10.300000000000011,5907.115722593864,L,0
298.9,309.2,1379,50.7,106,10.300000000000011,7321.51309511755,H,0
298.8,309.1,1350,52.5,111,10.300000000000011,7422.0126441058865,L,0
298.8,309.1,1362,45.4,113,10.300000000000011,6475.325113873137,L,0
298.8,309.1,1368,50.8,115,10.300000000000011,7277.436550187683,L,0
298.8,309.1,1368,49.1,117,10.300000000000011,7033.900287681403,M,0
298.8,309.2,1372,48.5,120,10.399999999999977,6968.261945172401,H,0
298.8,309.1,1472,47.5,125,10.300000000000011,7322.00527796661,M,0
298.8,309.1,1489,49.1,128,10.300000000000011,7656.050824822813,L,0
298.7,309.0,1843,25.8,130,10.300000000000011,4979.36152408675,M,0
298.8,309.1,1418,46.3,133,10.300000000000011,6875.207970773071,L,0
298.8,309.2,1425,53.9,135,10.399999999999977,8043.2625913532665,H,0
298.9,309.2,1412,44.1,140,10.300000000000011,6520.815375497119,M,0
298.9,309.1,2861,4.6,143,10.200000000000045,1378.1748092277942,L,1
298.9,309.1,1383,54.9,145,10.200000000000045,7951.025431043872,L,0
298.8,309.0,1497,43.8,147,10.199999999999989,6866.327735538923,H,0
298.7,309.0,1565,35.1,152,10.300000000000011,5752.41322835559,L,0
298.7,309.0,1691,30.1,154,10.300000000000011,5330.141287811076,L,0
298.8,309.1,1512,40.7,156,10.300000000000011,6444.286178455672,L,0
298.8,309.1,1477,42.4,158,10.300000000000011,6558.053720417668,L,0
298.8,309.1,1513,40.3,160,10.300000000000011,6385.171876690622,L,0
298.8,309.0,1661,29.5,162,10.199999999999989,5131.215640985769,M,0
298.8,309.1,1378,54.4,165,10.300000000000011,7850.127946986078,L,0
298.8,309.1,1393,52.6,167,10.300000000000011,7673.004953176688,L,0
298.8,309.0,1592,38.2,169,10.199999999999989,6368.469075749038,M,0
298.8,309.0,1829,22.9,172,10.199999999999989,4386.092695407342,L,0
298.9,309.0,1812,25.9,174,10.100000000000023,4914.581883569729,M,0
299.0,309.1,1523,38.6,177,10.100000000000023,6156.244020023535,L,0
299.0,309.1,1394,45.1,179,10.100000000000023,6583.668172519938,L,0
298.9,308.9,1679,28.7,181,10.0,5046.162255877581,M,0
298.8,308.9,1466,44.1,184,10.099999999999966,6770.195000339076,H,0
298.8,308.9,1527,32.4,189,10.099999999999966,5180.988940594142,L,0
298.9,309.0,1410,65.7,191,10.100000000000023,9700.923955019924,L,1
298.9,309.0,1924,22.6,193,10.100000000000023,4553.4662800150945,M,0
298.9,309.1,1452,45.5,196,10.200000000000045,6918.415341735443,L,0
298.9,309.1,1369,44.4,198,10.200000000000045,6365.243707291352,L,0
299.0,309.1,1592,35.0,200,10.100000000000023,5834.984755267443,L,0
298.9,309.0,1601,32.3,202,10.100000000000023,5415.299392674381,L,0
298.8,308.9,1379,46.7,204,10.099999999999966,6743.878925877506,L,0
298.8,308.9,1461,47.9,206,10.099999999999966,7328.487430808518,L,0
298.8,308.9,1455,41.3,208,10.099999999999966,6292.767164773035,L,1
298.8,308.9,1398,51.5,0,10.099999999999966,7539.508209350145,L,0
298.8,308.9,1402,37.9,2,10.099999999999966,5564.367964087218,L,0
298.8,308.8,1445,49.9,4,10.0,7550.870302780627,H,0
298.9,308.9,1450,47.5,9,10.0,7212.573133866567,L,0
298.9,308.9,1453,40.8,11,10.0,6208.038410905718,L,0
299.0,309.0,1469,40.1,13,10.0,6168.716142858287,L,0
298.9,308.9,1422,47.6,15,10.0,7088.187008735435,L,0
299.0,309.0,1804,26.8,17,10.0,5062.906944721215,M,0
299.0,309.0,1436,43.9,20,10.0,6601.575250645399,H,0
299.0,309.0,1544,31.8,25,10.0,5141.656200571199,L,0
299.0,309.0,1419,45.2,27,10.0,6716.599429668835,M,0
298.9,308.9,1487,39.5,30,10.0,6150.871896585897,M,0
298.9,308.9,1753,25.8,33,10.0,4736.2022526989,L,0
298.9,308.9,1830,24.9,35,10.0,4771.765081537536,L,0
298.9,308.9,1727,27.1,37,10.0,4901.062563183781,M,0
299.1,309.0,1450,43.0,40,9.899999999999977,6529.276731710787,L,0
299.0,308.9,1622,31.9,42,9.899999999999977,5418.388625450411,L,0
299.0,309.0,1351,52.2,44,10.0,7385.06751449967,M,0
299.0,309.0,1575,35.3,47,10.0,5822.156585265284,M,0
298.9,308.9,1750,29.9,50,10.0,5479.4611866361965,M,0
298.9,308.8,1529,32.7,53,9.900000000000034,5235.809732399286,L,0
298.8,308.8,1523,44.4,55,10.0,7081.275504897538,L,0
298.8,308.9,1852,25.0,57,10.099999999999966,4848.524662040247,L,0
298.8,308.8,1991,20.7,59,10.0,4315.888571575122,L,0
298.8,308.8,1555,40.6,61,10.0,6611.272299969481,L,0
298.8,308.8,1441,40.5,63,10.0,6111.497268660904,M,0
298.8,308.7,1450,43.4,66,9.899999999999977,6590.01418968019,L,0
298.8,308.7,1591,31.1,68,9.899999999999977,5181.543955296277,L,0
298.8,308.7,1445,48.5,70,9.899999999999977,7339.022238173556,L,0
298.8,308.8,1497,46.8,72,10.0,7336.624155781315,M,0
298.9,308.8,1621,32.7,75,9.900000000000034,5550.848643701271,H,0
298.9,308.7,1572,34.1,80,9.800000000000011,5613.523417140386,L,0
298.8,308.6,1872,22.5,82,9.800000000000011,4410.79608564007,L,0
298.7,308.6,1499,43.5,84,9.900000000000034,6828.408712210095,H,0
298.8,308.7,1498,39.5,89,9.899999999999977,6196.3726301853885,M,0
298.8,308.6,1486,41.9,92,9.800000000000011,6520.208000917424,M,0
298.8,308.6,1680,29.4,95,9.800000000000011,5172.318144870235,L,0
298.8,308.6,1431,45.7,97,9.800000000000011,6848.326409633855,L,0
298.9,308.7,1564,34.1,99,9.800000000000011,5584.955867943743,L,0
298.8,308.6,1599,33.0,101,9.800000000000011,5525.747318399087,L,0
298.8,308.6,1707,28.1,103,9.800000000000011,5023.0610778981845,M,0
298.7,308.5,1467,40.7,106,9.800000000000011,6252.491946954015,L,0
298.9,308.7,1433,44.7,108,9.800000000000011,6707.834386165318,L,0
298.9,308.7,1558,41.2,110,9.800000000000011,6721.919193228914,L,0
299.0,308.8,1310,50.7,112,9.800000000000011,6955.171975782444,L,0
298.9,308.7,1546,43.4,114,9.800000000000011,7026.318577410739,L,0
298.9,308.7,1727,29.4,116,9.800000000000011,5317.019902494581,L,0
298.9,308.6,1560,32.2,118,9.700000000000045,5260.28273917075,L,0
299.0,308.6,1329,60.5,120,9.600000000000023,8419.939550518684,L,0
298.9,308.6,1413,46.5,122,9.700000000000045,6880.559150259685,L,0
299.0,308.6,1587,38.6,124,9.600000000000023,6414.9437030711415,L,0
298.9,308.5,1559,34.3,126,9.600000000000023,5599.75276934215,L,0
298.8,308.4,1473,41.1,128,9.599999999999966,6339.765390870739,L,0
298.8,308.4,1737,27.7,130,9.599999999999966,5038.580545606917,L,0
298.7,308.4,1441,43.2,132,9.699999999999989,6518.930419904966,M,0
298.7,308.4,1430,49.6,135,9.699999999999989,7427.5627911272295,M,0
298.8,308.4,1369,53.0,138,9.599999999999966,7598.151272217154,L,0
298.8,308.5,1711,28.5,140,9.699999999999989,5106.501778777529,M,0
298.7,308.5,1420,45.7,143,9.800000000000011,6795.683788735201,H,0
298.7,308.6,1297,55.3,148,9.900000000000034,7510.93018817799,L,0
298.8,308.6,1449,49.4,150,9.800000000000011,7495.902903318319,H,0
298.8,308.6,1268,55.8,155,9.800000000000011,7409.383441638455,L,0
298.8,308.6,1511,36.1,157,9.800000000000011,5712.158954487593,L,0
298.7,308.5,1544,35.2,159,9.800000000000011,5691.393027047366,L,0
298.6,308.4,1778,28.2,161,9.799999999999955,5250.606633797693,M,0
298.6,308.4,1407,50.5,164,9.799999999999955,7440.705120394745,H,0
298.6,308.4,1391,42.4,169,9.799999999999955,6176.203605349342,M,0
298.5,308.4,1513,33.6,172,9.899999999999977,5323.61724706712,L,0
298.5,308.4,1612,36.1,174,9.899999999999977,6093.977653629385,H,0
298.4,308.4,1515,40.1,179,10.0,6361.882203152011,L,0
298.3,308.3,1379,48.0,181,10.0,6931.61003088052,M,0
298.4,308.3,1473,39.9,184,9.900000000000034,6154.662751721228,L,0
298.4,308.3,1422,42.7,186,9.900000000000034,6358.52069901267,L,0
298.4,308.2,1463,37.6,188,9.800000000000011,5760.508065426342,M,0
298.4,308.2,1584,41.0,191,9.800000000000011,6800.919776491184,M,0
298.4,308.2,1850,27.0,194,9.800000000000011,5230.751768227006,L,0
298.4,308.2,1528,36.2,196,9.800000000000011,5792.426646786813,L,0
298.4,308.2,1987,19.8,198,9.800000000000011,4119.9474377707265,H,0
298.4,308.1,1495,46.0,203,9.700000000000045,7201.577559579002,M,0
